"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","25,696","±968"
"    Less than 10.0 percent","586","±203"
"    10.0 to 14.9 percent","1,705","±335"
"    15.0 to 19.9 percent","2,897","±444"
"    20.0 to 24.9 percent","2,436","±418"
"    25.0 to 29.9 percent","2,042","±397"
"    30.0 to 34.9 percent","1,822","±464"
"    35.0 to 39.9 percent","1,203","±241"
"    40.0 to 49.9 percent","2,208","±414"
"    50.0 percent or more","9,000","±708"
"    Not computed","1,797","±408"
