"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","25,115","±851"
"    Less than 10.0 percent","547","±161"
"    10.0 to 14.9 percent","1,331","±234"
"    15.0 to 19.9 percent","2,150","±314"
"    20.0 to 24.9 percent","2,227","±312"
"    25.0 to 29.9 percent","2,061","±314"
"    30.0 to 34.9 percent","2,007","±274"
"    35.0 to 39.9 percent","1,310","±242"
"    40.0 to 49.9 percent","1,899","±346"
"    50.0 percent or more","9,597","±682"
"    Not computed","1,986","±344"
