"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,880","*****"
"    In households:","22,762","±70"
"        Under 3 years","3,735","±247"
"        3 and 4 years","2,655","±247"
"        5 years","1,392","±256"
"        6 to 8 years","3,774","±411"
"        9 to 11 years","3,928","±396"
"        12 to 14 years","3,691","±359"
"        15 to 17 years","3,587","±134"
"    In group quarters","118","±69"
