"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,859","*****"
"    In households:","22,733","±67"
"        Under 3 years","3,880","±225"
"        3 and 4 years","2,561","±223"
"        5 years","1,421","±296"
"        6 to 8 years","3,656","±315"
"        9 to 11 years","3,995","±326"
"        12 to 14 years","3,751","±342"
"        15 to 17 years","3,469","±132"
"    In group quarters","126","±66"
