"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,077","*****"
"    In households:","21,947","±65"
"        Under 3 years","3,181","±261"
"        3 and 4 years","2,752","±258"
"        5 years","1,282","±291"
"        6 to 8 years","3,684","±376"
"        9 to 11 years","3,579","±358"
"        12 to 14 years","3,717","±346"
"        15 to 17 years","3,752","±70"
"    In group quarters","130","±65"
