"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","23,192","±47"
"    In households:","23,030","±80"
"        Under 3 years","3,500","±356"
"        3 and 4 years","2,928","±357"
"        5 years","1,326","±259"
"        6 to 8 years","3,662","±425"
"        9 to 11 years","3,754","±362"
"        12 to 14 years","3,943","±351"
"        15 to 17 years","3,917","±102"
"    In group quarters","162","±68"
