"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","22,637","*****"
"    In households:","22,527","±52"
"        Under 3 years","3,699","±224"
"        3 and 4 years","2,735","±223"
"        5 years","1,226","±235"
"        6 to 8 years","3,642","±389"
"        9 to 11 years","3,935","±362"
"        12 to 14 years","3,788","±357"
"        15 to 17 years","3,502","±112"
"    In group quarters","110","±53"
