"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","23,067","*****"
"    In households:","22,945","±61"
"        Under 3 years","3,765","±262"
"        3 and 4 years","2,662","±262"
"        5 years","1,271","±255"
"        6 to 8 years","3,745","±351"
"        9 to 11 years","3,708","±346"
"        12 to 14 years","3,888","±404"
"        15 to 17 years","3,906","±64"
"    In group quarters","122","±61"
