"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","23,021","*****"
"    In households:","22,854","±70"
"        Under 3 years","3,576","±273"
"        3 and 4 years","2,826","±273"
"        5 years","1,377","±270"
"        6 to 8 years","3,931","±336"
"        9 to 11 years","3,330","±344"
"        12 to 14 years","4,008","±363"
"        15 to 17 years","3,806","±113"
"    In group quarters","167","±70"
