"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","56,399","±682"
"    Household received Food Stamps/SNAP in the past 12 months:","4,093","±545"
"        At least one person in household 60 years or over","1,125","±262"
"        No people in household 60 years or over","2,968","±462"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","52,306","±846"
"        At least one person in household 60 years or over","16,856","±549"
"        No people in household 60 years or over","35,450","±885"
