"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","54,165","±810"
"    Household received Food Stamps/SNAP in the past 12 months:","4,753","±483"
"        At least one person in household 60 years or over","772","±136"
"        No people in household 60 years or over","3,981","±446"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","49,412","±752"
"        At least one person in household 60 years or over","14,153","±380"
"        No people in household 60 years or over","35,259","±801"
