"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","53,914","±699"
"    Household received Food Stamps/SNAP in the past 12 months:","4,881","±451"
"        At least one person in household 60 years or over","824","±194"
"        No people in household 60 years or over","4,057","±392"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","49,033","±912"
"        At least one person in household 60 years or over","13,392","±364"
"        No people in household 60 years or over","35,641","±900"
