"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","55,014","±732"
"    Household received Food Stamps/SNAP in the past 12 months:","4,516","±401"
"        At least one person in household 60 years or over","914","±163"
"        No people in household 60 years or over","3,602","±379"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","50,498","±768"
"        At least one person in household 60 years or over","15,542","±360"
"        No people in household 60 years or over","34,956","±760"
