"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","54,278","±673"
"    Household received Food Stamps/SNAP in the past 12 months:","4,645","±435"
"        At least one person in household 60 years or over","868","±165"
"        No people in household 60 years or over","3,777","±382"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","49,633","±781"
"        At least one person in household 60 years or over","14,928","±399"
"        No people in household 60 years or over","34,705","±786"
