"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","53,778","±640"
"    Household received Food Stamps/SNAP in the past 12 months:","4,979","±428"
"        At least one person in household 60 years or over","843","±153"
"        No people in household 60 years or over","4,136","±410"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","48,799","±796"
"        At least one person in household 60 years or over","13,788","±388"
"        No people in household 60 years or over","35,011","±865"
