"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","60,757","±400"
"    1, detached","32,411","±648"
"    1, attached","3,983","±427"
"    2","1,163","±246"
"    3 or 4","3,172","±395"
"    5 to 9","5,960","±439"
"    10 to 19","5,644","±536"
"    20 to 49","2,518","±380"
"    50 or more","2,481","±350"
"    Mobile home","3,425","±360"
"    Boat, RV, van, etc.","0","±27"
