"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","59,240","±350"
"    1, detached","32,346","±722"
"    1, attached","3,296","±337"
"    2","1,710","±298"
"    3 or 4","2,816","±345"
"    5 to 9","5,735","±584"
"    10 to 19","5,220","±485"
"    20 to 49","2,610","±358"
"    50 or more","2,404","±297"
"    Mobile home","3,103","±328"
"    Boat, RV, van, etc.","0","±27"
