"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","59,504","±353"
"    1, detached","32,046","±727"
"    1, attached","3,463","±360"
"    2","1,571","±240"
"    3 or 4","3,076","±410"
"    5 to 9","5,850","±539"
"    10 to 19","5,420","±476"
"    20 to 49","2,597","±365"
"    50 or more","2,406","±287"
"    Mobile home","3,075","±358"
"    Boat, RV, van, etc.","0","±27"
