"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","61,144","±353"
"    1, detached","32,601","±710"
"    1, attached","4,091","±330"
"    2","1,163","±237"
"    3 or 4","3,398","±386"
"    5 to 9","5,637","±512"
"    10 to 19","5,589","±535"
"    20 to 49","2,721","±429"
"    50 or more","2,326","±394"
"    Mobile home","3,618","±411"
"    Boat, RV, van, etc.","0","±27"
