"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","53,914","±699"
"    Household received Food Stamps/SNAP in the past 12 months:","4,881","±451"
"        Income in the past 12 months below poverty level","2,975","±353"
"        Income in the past 12 months at or above poverty level","1,906","±344"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","49,033","±912"
"        Income in the past 12 months below poverty level","9,695","±693"
"        Income in the past 12 months at or above poverty level","39,338","±764"
