"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","56,399","±682"
"    Household received Food Stamps/SNAP in the past 12 months:","4,093","±545"
"        Income in the past 12 months below poverty level","2,623","±473"
"        Income in the past 12 months at or above poverty level","1,470","±269"
"    Household did not receive Food Stamps/SNAP in the past 12 months:","52,306","±846"
"        Income in the past 12 months below poverty level","8,757","±723"
"        Income in the past 12 months at or above poverty level","43,549","±878"
