"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","30,431","±650"
"    Housing units with a mortgage:","19,871","±528"
"        Less than 10.0 percent","1,953","±272"
"        10.0 to 14.9 percent","4,548","±455"
"        15.0 to 19.9 percent","4,490","±447"
"        20.0 to 24.9 percent","3,145","±366"
"        25.0 to 29.9 percent","1,763","±271"
"        30.0 to 34.9 percent","939","±198"
"        35.0 to 39.9 percent","527","±154"
"        40.0 to 49.9 percent","884","±172"
"        50.0 percent or more","1,580","±241"
"        Not computed","42","±44"
"    Housing units without a mortgage:","10,560","±556"
"        Less than 10.0 percent","5,687","±425"
"        10.0 to 14.9 percent","1,958","±249"
"        15.0 to 19.9 percent","847","±165"
"        20.0 to 24.9 percent","469","±167"
"        25.0 to 29.9 percent","366","±117"
"        30.0 to 34.9 percent","294","±132"
"        35.0 to 39.9 percent","94","±52"
"        40.0 to 49.9 percent","239","±109"
"        50.0 percent or more","483","±152"
"        Not computed","123","±67"
