"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","31,146","±802"
"    Housing units with a mortgage:","19,873","±833"
"        Less than 10.0 percent","2,487","±390"
"        10.0 to 14.9 percent","4,724","±483"
"        15.0 to 19.9 percent","4,489","±453"
"        20.0 to 24.9 percent","3,150","±442"
"        25.0 to 29.9 percent","1,707","±350"
"        30.0 to 34.9 percent","894","±198"
"        35.0 to 39.9 percent","488","±141"
"        40.0 to 49.9 percent","661","±181"
"        50.0 percent or more","1,245","±248"
"        Not computed","28","±33"
"    Housing units without a mortgage:","11,273","±597"
"        Less than 10.0 percent","6,146","±468"
"        10.0 to 14.9 percent","2,261","±311"
"        15.0 to 19.9 percent","809","±197"
"        20.0 to 24.9 percent","510","±145"
"        25.0 to 29.9 percent","381","±129"
"        30.0 to 34.9 percent","229","±123"
"        35.0 to 39.9 percent","115","±63"
"        40.0 to 49.9 percent","286","±120"
"        50.0 percent or more","467","±185"
"        Not computed","69","±51"
