"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","29,793","±647"
"    Housing units with a mortgage:","19,275","±679"
"        Less than 10.0 percent","1,925","±293"
"        10.0 to 14.9 percent","4,269","±429"
"        15.0 to 19.9 percent","4,590","±376"
"        20.0 to 24.9 percent","2,764","±327"
"        25.0 to 29.9 percent","1,854","±278"
"        30.0 to 34.9 percent","957","±218"
"        35.0 to 39.9 percent","523","±160"
"        40.0 to 49.9 percent","989","±226"
"        50.0 percent or more","1,362","±212"
"        Not computed","42","±37"
"    Housing units without a mortgage:","10,518","±500"
"        Less than 10.0 percent","5,731","±430"
"        10.0 to 14.9 percent","1,889","±294"
"        15.0 to 19.9 percent","927","±195"
"        20.0 to 24.9 percent","384","±130"
"        25.0 to 29.9 percent","414","±146"
"        30.0 to 34.9 percent","202","±82"
"        35.0 to 39.9 percent","144","±76"
"        40.0 to 49.9 percent","262","±98"
"        50.0 percent or more","413","±136"
"        Not computed","152","±81"
