"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","29,092","±608"
"    Housing units with a mortgage:","19,248","±657"
"        Less than 10.0 percent","1,374","±209"
"        10.0 to 14.9 percent","3,696","±326"
"        15.0 to 19.9 percent","4,317","±411"
"        20.0 to 24.9 percent","3,260","±363"
"        25.0 to 29.9 percent","1,740","±289"
"        30.0 to 34.9 percent","1,411","±229"
"        35.0 to 39.9 percent","872","±198"
"        40.0 to 49.9 percent","1,014","±220"
"        50.0 percent or more","1,469","±243"
"        Not computed","95","±71"
"    Housing units without a mortgage:","9,844","±568"
"        Less than 10.0 percent","5,004","±444"
"        10.0 to 14.9 percent","1,977","±311"
"        15.0 to 19.9 percent","650","±161"
"        20.0 to 24.9 percent","518","±134"
"        25.0 to 29.9 percent","373","±109"
"        30.0 to 34.9 percent","361","±116"
"        35.0 to 39.9 percent","219","±88"
"        40.0 to 49.9 percent","213","±81"
"        50.0 percent or more","363","±119"
"        Not computed","166","±73"
