"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","31,106","±641"
"    Housing units with a mortgage:","20,254","±725"
"        Less than 10.0 percent","2,242","±384"
"        10.0 to 14.9 percent","4,607","±374"
"        15.0 to 19.9 percent","4,445","±365"
"        20.0 to 24.9 percent","3,404","±409"
"        25.0 to 29.9 percent","1,670","±270"
"        30.0 to 34.9 percent","1,061","±229"
"        35.0 to 39.9 percent","527","±139"
"        40.0 to 49.9 percent","744","±183"
"        50.0 percent or more","1,520","±239"
"        Not computed","34","±35"
"    Housing units without a mortgage:","10,852","±623"
"        Less than 10.0 percent","5,655","±453"
"        10.0 to 14.9 percent","2,156","±332"
"        15.0 to 19.9 percent","829","±182"
"        20.0 to 24.9 percent","614","±218"
"        25.0 to 29.9 percent","411","±140"
"        30.0 to 34.9 percent","255","±129"
"        35.0 to 39.9 percent","131","±63"
"        40.0 to 49.9 percent","331","±136"
"        50.0 percent or more","370","±116"
"        Not computed","100","±75"
