"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","31,770","±734"
"    Housing units with a mortgage:","20,047","±915"
"        Less than 10.0 percent","2,559","±473"
"        10.0 to 14.9 percent","4,506","±402"
"        15.0 to 19.9 percent","4,269","±491"
"        20.0 to 24.9 percent","3,216","±432"
"        25.0 to 29.9 percent","1,776","±374"
"        30.0 to 34.9 percent","1,086","±252"
"        35.0 to 39.9 percent","706","±178"
"        40.0 to 49.9 percent","692","±212"
"        50.0 percent or more","1,208","±304"
"        Not computed","29","±32"
"    Housing units without a mortgage:","11,723","±641"
"        Less than 10.0 percent","6,226","±550"
"        10.0 to 14.9 percent","2,370","±346"
"        15.0 to 19.9 percent","943","±215"
"        20.0 to 24.9 percent","586","±177"
"        25.0 to 29.9 percent","436","±149"
"        30.0 to 34.9 percent","236","±124"
"        35.0 to 39.9 percent","66","±40"
"        40.0 to 49.9 percent","233","±109"
"        50.0 percent or more","571","±218"
"        Not computed","56","±42"
