"Label (Grouping)","Monroe County, Indiana!!Total population!!Estimate","Monroe County, Indiana!!Total population!!Margin of Error"
"Total:","31,267","±758"
"    Housing units with a mortgage:","19,717","±864"
"        Less than 10.0 percent","2,437","±382"
"        10.0 to 14.9 percent","4,530","±468"
"        15.0 to 19.9 percent","4,529","±458"
"        20.0 to 24.9 percent","3,195","±369"
"        25.0 to 29.9 percent","1,695","±306"
"        30.0 to 34.9 percent","1,031","±228"
"        35.0 to 39.9 percent","542","±160"
"        40.0 to 49.9 percent","566","±144"
"        50.0 percent or more","1,161","±278"
"        Not computed","31","±32"
"    Housing units without a mortgage:","11,550","±752"
"        Less than 10.0 percent","6,367","±494"
"        10.0 to 14.9 percent","2,254","±299"
"        15.0 to 19.9 percent","869","±219"
"        20.0 to 24.9 percent","414","±137"
"        25.0 to 29.9 percent","390","±141"
"        30.0 to 34.9 percent","288","±147"
"        35.0 to 39.9 percent","114","±51"
"        40.0 to 49.9 percent","316","±130"
"        50.0 percent or more","485","±188"
"        Not computed","53","±41"
