"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","29,087","±603"
"    Housing units with a mortgage:","19,635","±627"
"        Less than 10.0 percent","1,270","±239"
"        10.0 to 14.9 percent","3,388","±375"
"        15.0 to 19.9 percent","4,283","±399"
"        20.0 to 24.9 percent","3,638","±355"
"        25.0 to 29.9 percent","1,662","±278"
"        30.0 to 34.9 percent","1,514","±235"
"        35.0 to 39.9 percent","904","±184"
"        40.0 to 49.9 percent","976","±180"
"        50.0 percent or more","1,885","±299"
"        Not computed","115","±78"
"    Housing units without a mortgage:","9,452","±513"
"        Less than 10.0 percent","4,636","±391"
"        10.0 to 14.9 percent","1,880","±262"
"        15.0 to 19.9 percent","710","±168"
"        20.0 to 24.9 percent","617","±161"
"        25.0 to 29.9 percent","368","±107"
"        30.0 to 34.9 percent","389","±123"
"        35.0 to 39.9 percent","200","±91"
"        40.0 to 49.9 percent","248","±104"
"        50.0 percent or more","275","±94"
"        Not computed","129","±73"
