"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","29,472","±665"
"    Housing units with a mortgage:","19,117","±551"
"        Less than 10.0 percent","1,797","±282"
"        10.0 to 14.9 percent","4,244","±424"
"        15.0 to 19.9 percent","4,192","±351"
"        20.0 to 24.9 percent","2,980","±332"
"        25.0 to 29.9 percent","1,748","±304"
"        30.0 to 34.9 percent","1,046","±198"
"        35.0 to 39.9 percent","676","±192"
"        40.0 to 49.9 percent","1,009","±179"
"        50.0 percent or more","1,390","±234"
"        Not computed","35","±36"
"    Housing units without a mortgage:","10,355","±525"
"        Less than 10.0 percent","5,409","±417"
"        10.0 to 14.9 percent","1,931","±280"
"        15.0 to 19.9 percent","864","±198"
"        20.0 to 24.9 percent","521","±157"
"        25.0 to 29.9 percent","439","±138"
"        30.0 to 34.9 percent","253","±105"
"        35.0 to 39.9 percent","158","±83"
"        40.0 to 49.9 percent","206","±87"
"        50.0 percent or more","432","±129"
"        Not computed","142","±81"
