"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","29,050","±557"
"    Housing units with a mortgage:","19,096","±607"
"        Less than 10.0 percent","1,591","±256"
"        10.0 to 14.9 percent","3,908","±386"
"        15.0 to 19.9 percent","4,093","±378"
"        20.0 to 24.9 percent","3,307","±331"
"        25.0 to 29.9 percent","1,652","±216"
"        30.0 to 34.9 percent","1,219","±220"
"        35.0 to 39.9 percent","785","±190"
"        40.0 to 49.9 percent","960","±200"
"        50.0 percent or more","1,479","±246"
"        Not computed","102","±70"
"    Housing units without a mortgage:","9,954","±499"
"        Less than 10.0 percent","5,146","±416"
"        10.0 to 14.9 percent","1,878","±309"
"        15.0 to 19.9 percent","850","±195"
"        20.0 to 24.9 percent","554","±122"
"        25.0 to 29.9 percent","341","±99"
"        30.0 to 34.9 percent","301","±110"
"        35.0 to 39.9 percent","171","±79"
"        40.0 to 49.9 percent","252","±91"
"        50.0 percent or more","326","±110"
"        Not computed","135","±87"
