"Label (Grouping)","Monroe County, Indiana!!Estimate","Monroe County, Indiana!!Margin of Error"
"Total:","31,949","±751"
"    Housing units with a mortgage:","20,087","±834"
"        Less than 10.0 percent","2,736","±433"
"        10.0 to 14.9 percent","4,596","±483"
"        15.0 to 19.9 percent","4,265","±484"
"        20.0 to 24.9 percent","2,965","±366"
"        25.0 to 29.9 percent","1,729","±354"
"        30.0 to 34.9 percent","1,147","±266"
"        35.0 to 39.9 percent","720","±203"
"        40.0 to 49.9 percent","713","±194"
"        50.0 percent or more","1,171","±249"
"        Not computed","45","±45"
"    Housing units without a mortgage:","11,862","±718"
"        Less than 10.0 percent","6,225","±563"
"        10.0 to 14.9 percent","2,436","±353"
"        15.0 to 19.9 percent","972","±219"
"        20.0 to 24.9 percent","561","±161"
"        25.0 to 29.9 percent","464","±177"
"        30.0 to 34.9 percent","247","±135"
"        35.0 to 39.9 percent","91","±55"
"        40.0 to 49.9 percent","233","±109"
"        50.0 percent or more","576","±221"
"        Not computed","57","±41"
